"Order Date","Customer ID","Product ID","Quantity","Customer Name","Email","Country","Coffee Type","Roast Type","Size","Unit Price"
"2021-09-25","51427-89175-QJ","A-D-0.5",6,"Adrian Swaine","","United States","Ara","D",0.5,5.97
"2021-09-25","51427-89175-QJ","L-M-0.2",5,"Adrian Swaine","","United States","Lib","M",0.2,4.365
"2021-07-17","39123-12846-YJ","L-L-0.2",5,"Gallard Gatheral","ggatheralx@123-reg.co.uk","United States","Lib","L",0.2,4.755
"2020-06-29","44981-99666-XB","L-L-0.5",6,"Una Welberry","uwelberryy@ebay.co.uk","United Kingdom","Lib","L",0.5,9.51
"2021-06-01","24825-51803-CQ","A-D-0.5",6,"Faber Eilhart","feilhartz@who.int","United States","Ara","D",0.5,5.97
"2021-02-06","77634-13918-GJ","L-M-0.2",2,"Zorina Ponting","zponting10@altervista.org","United States","Lib","M",0.2,4.365
"2019-04-25","13694-25001-LX","L-L-0.5",3,"Silvio Strase","sstrase11@booking.com","United States","Lib","L",0.5,9.51
"2020-04-25","08523-01791-TI","R-M-2.5",5,"Dorie de la Tremoille","dde12@unesco.org","United States","Rob","M",2.5,22.885
"2021-11-24","49860-68865-AB","R-M-1",6,"Hy Zanetto","","United States","Rob","M",1.0,9.95
"2021-04-19","21240-83132-SP","L-M-1",3,"Jessica McNess","","United States","Lib","M",1.0,14.55
"2022-07-07","08350-81623-TF","E-D-0.2",2,"Lorenzo Yeoland","lyeoland15@pbs.org","United States","Exc","D",0.2,3.645
"2019-05-22","73284-01385-SJ","R-D-0.2",3,"Abigail Tolworthy","atolworthy16@toplist.cz","United States","Rob","D",0.2,2.685
"2021-10-04","04152-34436-IE","L-L-2.5",2,"Maurie Bartol","","United States","Lib","L",2.5,36.455
"2020-04-11","06631-86965-XP","E-M-0.5",2,"Olag Baudassi","obaudassi18@seesaa.net","United States","Exc","M",0.5,8.25
"2022-01-31","54619-08558-ZU","L-D-2.5",6,"Petey Kingsbury","pkingsbury19@comcast.net","United States","Lib","D",2.5,29.785
"2019-11-07","85589-17020-CX","E-M-2.5",2,"Donna Baskeyfied","","United States","Exc","M",2.5,31.625
"2019-06-28","36078-91009-WU","A-L-0.2",2,"Arda Curley","acurley1b@hao123.com","United States","Ara","L",0.2,3.885
"2020-09-11","15770-27099-GX","A-D-2.5",4,"Raynor McGilvary","rmcgilvary1c@tamu.edu","United States","Ara","D",2.5,22.885
"2022-08-17","91460-04823-BX","A-L-1",3,"Isis Pikett","ipikett1d@xinhuanet.com","United States","Ara","L",1.0,12.95
"2022-08-19","45089-52817-WN","L-D-0.5",2,"Inger Bouldon","ibouldon1e@gizmodo.com","United States","Lib","D",0.5,7.77
"2019-05-15","76447-50326-IC","L-L-2.5",4,"Karry Flanders","kflanders1f@over-blog.com","Ireland","Lib","L",2.5,36.455
"2019-09-11","26333-67911-OL","L-L-2.5",2,"Hartley Mattioli","hmattioli1g@webmd.com","United Kingdom","Lib","L",2.5,36.455
"2019-09-11","26333-67911-OL","R-M-0.5",5,"Hartley Mattioli","hmattioli1g@webmd.com","United Kingdom","Rob","M",0.5,5.97
"2021-03-16","22107-86640-SB","L-M-1",5,"Archambault Gillard","agillard1i@issuu.com","United States","Lib","M",1.0,14.55
"2020-12-03","09960-34242-LZ","L-L-1",3,"Salomo Cushworth","","United States","Lib","L",1.0,15.85
"2020-01-27","04671-85591-RT","E-D-0.2",3,"Theda Grizard","tgrizard1k@odnoklassniki.ru","United States","Exc","D",0.2,3.645
"2022-07-17","25729-68859-UA","E-L-1",4,"Rozele Relton","rrelton1l@stanford.edu","United States","Exc","L",1.0,14.85
"2022-03-04","05501-86351-NX","L-D-2.5",3,"Willa Rolling","","United States","Lib","D",2.5,29.785
"2021-12-07","04521-04300-OK","L-M-0.5",3,"Stanislaus Gilroy","sgilroy1n@eepurl.com","United States","Lib","M",0.5,8.73
"2021-02-25","58689-55264-VK","A-D-2.5",5,"Correy Cottingham","ccottingham1o@wikipedia.org","United States","Ara","D",2.5,22.885
"2019-02-25","79436-73011-MM","R-D-0.5",5,"Pammi Endacott","","United Kingdom","Rob","D",0.5,5.37
"2019-02-09","65552-60476-KY","L-L-0.2",5,"Nona Linklater","","United States","Lib","L",0.2,4.755
"2020-02-07","69904-02729-YS","A-M-0.5",1,"Annadiane Dykes","adykes1r@eventbrite.com","United States","Ara","M",0.5,6.75
"2020-03-23","01433-04270-AX","R-M-0.5",6,"Felecia Dodgson","","United States","Rob","M",0.5,5.97
"2022-03-06","14204-14186-LA","R-D-2.5",4,"Angelia Cockrem","acockrem1t@engadget.com","United States","Rob","D",2.5,20.585
"2022-04-15","32948-34398-HC","R-L-0.5",1,"Belvia Umpleby","bumpleby1u@soundcloud.com","United States","Rob","L",0.5,7.17
"2021-11-19","77343-52608-FF","L-L-0.2",2,"Nat Saleway","nsaleway1v@dedecms.com","United States","Lib","L",0.2,4.755
"2019-10-16","42770-36274-QA","R-M-0.2",1,"Hayward Goulter","hgoulter1w@abc.net.au","United States","Rob","M",0.2,2.985
"2019-11-26","14103-58987-ZU","R-M-1",6,"Gay Rizzello","grizzello1x@symantec.com","United Kingdom","Rob","M",1.0,9.95
"2019-06-30","69958-32065-SW","E-L-2.5",4,"Shannon List","slist1y@mapquest.com","United States","Exc","L",2.5,34.155
"2021-01-04","69533-84907-FA","L-L-0.2",2,"Shirlene Edmondson","sedmondson1z@theguardian.com","Ireland","Lib","L",0.2,4.755
"2020-10-27","76005-95461-CI","A-M-2.5",3,"Aurlie McCarl","","United States","Ara","M",2.5,25.875
"2021-06-15","15395-90855-VB","L-M-0.2",5,"Alikee Carryer","","United States","Lib","M",0.2,4.365
"2021-07-19","80640-45811-LB","E-L-0.5",2,"Jennifer Rangall","jrangall22@newsvine.com","United States","Exc","L",0.5,8.91
"2021-07-23","28476-04082-GR","R-D-1",6,"Kipper Boorn","kboorn23@ezinearticles.com","Ireland","Rob","D",1.0,8.95
"2020-01-25","12018-75670-EU","R-L-0.2",1,"Melania Beadle","","Ireland","Rob","L",0.2,3.585
"2019-05-09","86437-17399-FK","E-D-0.2",2,"Colene Elgey","celgey25@webs.com","United States","Exc","D",0.2,3.645
"2020-03-30","62979-53167-ML","A-M-0.5",6,"Lothaire Mizzi","lmizzi26@rakuten.co.jp","United States","Ara","M",0.5,6.75
"2022-03-13","54810-81899-HL","R-L-1",4,"Cletis Giacomazzo","cgiacomazzo27@jigsy.com","United States","Rob","L",1.0,11.95
"2019-04-17","26103-41504-IB","A-L-0.5",5,"Ami Arnow","aarnow28@arizona.edu","United States","Ara","L",0.5,7.77
"2019-10-25","76534-45229-SG","L-L-2.5",3,"Sheppard Yann","syann29@senate.gov","United States","Lib","L",2.5,36.455
"2019-09-13","81744-27332-RR","L-M-2.5",3,"Bunny Naulls","bnaulls2a@tiny.cc","Ireland","Lib","M",2.5,33.465
"2020-04-12","91513-75657-PH","R-D-2.5",4,"Hally Lorait","","United States","Rob","D",2.5,20.585
"2019-11-14","30373-66619-CB","L-L-0.5",1,"Zaccaria Sherewood","zsherewood2c@apache.org","United States","Lib","L",0.5,9.51
"2019-07-18","31582-23562-FM","A-D-0.2",4,"Jeffrey Dufaire","jdufaire2d@fc2.com","United States","Ara","D",0.2,2.985
"2019-07-18","31582-23562-FM","A-L-2.5",3,"Jeffrey Dufaire","jdufaire2d@fc2.com","United States","Ara","L",2.5,29.785
"2021-02-05","58638-01029-CB","A-L-0.5",5,"Blancha McAmish","bmcamish2e@tripadvisor.com","United States","Ara","L",0.5,7.77
"2021-04-03","81431-12577-VD","A-M-1",3,"Beitris Keaveney","bkeaveney2f@netlog.com","United States","Ara","M",1.0,11.25
"2021-03-29","68894-91205-MP","R-L-1",3,"Elna Grise","egrise2g@cargocollective.com","United States","Rob","L",1.0,11.95
"2021-12-15","87602-55754-VN","A-L-1",6,"Torie Gottelier","tgottelier2h@vistaprint.com","United States","Ara","L",1.0,12.95
"2020-05-20","39181-35745-WH","A-L-1",4,"Loydie Langlais","","Ireland","Ara","L",1.0,12.95
"2020-11-02","30381-64762-NG","A-M-2.5",4,"Adham Greenhead","agreenhead2j@dailymail.co.uk","United States","Ara","M",2.5,25.875
"2020-07-25","17503-27693-ZH","E-L-1",3,"Hamish MacSherry","","United States","Exc","L",1.0,14.85
"2019-03-14","89442-35633-HJ","E-L-0.5",4,"Else Langcaster","elangcaster2l@spotify.com","United Kingdom","Exc","L",0.5,8.91
"2020-07-02","13654-85265-IL","A-D-0.2",6,"Rudy Farquharson","","Ireland","Ara","D",0.2,2.985
"2019-12-17","40946-22090-FP","A-M-2.5",6,"Norene Magauran","nmagauran2n@51.la","United States","Ara","M",2.5,25.875
"2020-12-06","29050-93691-TS","A-D-0.2",2,"Vicki Kirdsch","vkirdsch2o@google.fr","United States","Ara","D",0.2,2.985
"2021-03-04","64395-74865-WF","A-M-0.5",2,"Ilysa Whapple","iwhapple2p@com.com","United States","Ara","M",0.5,6.75
"2021-07-17","81861-66046-SU","A-D-0.2",1,"Ruy Cancellieri","","Ireland","Ara","D",0.2,2.985
"2020-11-04","13366-78506-KP","L-M-0.2",3,"Aube Follett","","United States","Lib","M",0.2,4.365
"2021-04-05","08847-29858-HN","A-L-0.2",2,"Rudiger Di Bartolomeo","","United States","Ara","L",0.2,3.885
"2020-03-01","00539-42510-RY","L-D-2.5",5,"Nickey Youles","nyoules2t@reference.com","Ireland","Lib","D",2.5,29.785
"2021-10-19","45190-08727-NV","L-D-1",3,"Dyanna Aizikovitz","daizikovitz2u@answers.com","Ireland","Lib","D",1.0,12.95
"2022-07-08","87049-37901-FU","R-M-0.2",4,"Bram Revel","brevel2v@fastcompany.com","United States","Rob","M",0.2,2.985
"2019-08-17","34015-31593-JC","L-M-1",6,"Emiline Priddis","epriddis2w@nationalgeographic.com","United States","Lib","M",1.0,14.55
"2020-05-31","90305-50099-SV","A-M-0.5",6,"Queenie Veel","qveel2x@jugem.jp","United States","Ara","M",0.5,6.75
"2020-05-05","55871-61935-MF","E-D-1",2,"Lind Conyers","lconyers2y@twitter.com","United States","Exc","D",1.0,12.15
"2019-04-14","15405-60469-TM","R-M-0.5",3,"Pen Wye","pwye2z@dagondesign.com","United States","Rob","M",0.5,5.97
"2020-07-29","06953-94794-FB","A-M-0.5",4,"Isahella Hagland","","United States","Ara","M",0.5,6.75
"2019-12-12","22305-40299-CY","L-D-0.5",1,"Terry Sheryn","tsheryn31@mtv.com","United States","Lib","D",0.5,7.77
"2022-06-15","09020-56774-GU","E-L-0.2",3,"Marie-jeanne Redgrave","mredgrave32@cargocollective.com","United States","Exc","L",0.2,4.455
"2019-06-26","92926-08470-YS","R-D-0.5",5,"Betty Fominov","bfominov33@yale.edu","United States","Rob","D",0.5,5.37
"2021-10-12","07250-63194-JO","A-M-1",1,"Shawnee Critchlow","scritchlow34@un.org","United States","Ara","M",1.0,11.25
"2019-04-01","63787-96257-TQ","L-M-1",1,"Merrel Steptow","msteptow35@earthlink.net","Ireland","Lib","M",1.0,14.55
"2021-03-10","49530-25460-RW","R-L-0.2",4,"Carmina Hubbuck","","United States","Rob","L",0.2,3.585
"2019-08-16","66508-21373-OQ","L-L-1",1,"Ingeberg Mulliner","imulliner37@pinterest.com","United Kingdom","Lib","L",1.0,15.85
"2020-08-11","20203-03950-FY","L-L-0.2",4,"Geneva Standley","gstandley38@dion.ne.jp","Ireland","Lib","L",0.2,4.755
"2022-04-05","83895-90735-XH","L-L-0.5",4,"Brook Drage","bdrage39@youku.com","United States","Lib","L",0.5,9.51
"2019-10-22","61954-61462-RJ","E-D-0.5",3,"Muffin Yallop","myallop3a@fema.gov","United States","Exc","D",0.5,7.29
"2021-10-02","47939-53158-LS","E-M-1",5,"Cordi Switsur","cswitsur3b@chronoengine.com","United States","Exc","M",1.0,13.75
"2021-10-02","47939-53158-LS","A-L-0.2",1,"Cordi Switsur","cswitsur3b@chronoengine.com","United States","Ara","L",0.2,3.885
"2021-10-02","47939-53158-LS","E-M-0.2",1,"Cordi Switsur","cswitsur3b@chronoengine.com","United States","Exc","M",0.2,4.125
"2021-03-13","61513-27752-FA","A-D-0.5",4,"Mahala Ludwell","mludwell3e@blogger.com","United States","Ara","D",0.5,5.97
"2022-06-12","89714-19856-WX","L-L-2.5",4,"Doll Beauchamp","dbeauchamp3f@usda.gov","United States","Lib","L",2.5,36.455
"2019-04-27","87979-56781-YV","L-M-0.2",5,"Stanford Rodliff","srodliff3g@ted.com","United States","Lib","M",0.2,4.365
"2019-05-23","74126-88836-KA","L-M-0.5",3,"Stevana Woodham","swoodham3h@businesswire.com","Ireland","Lib","M",0.5,8.73
"2020-07-14","37397-05992-VO","A-M-1",1,"Hewet Synnot","hsynnot3i@about.com","United States","Ara","M",1.0,11.25
"2021-11-10","54904-18397-UD","L-D-1",6,"Raleigh Lepere","rlepere3j@shop-pro.jp","Ireland","Lib","D",1.0,12.95
"2021-08-31","19017-95853-EK","A-M-0.5",1,"Timofei Woofinden","twoofinden3k@businesswire.com","United States","Ara","M",0.5,6.75
"2019-07-06","88593-59934-VU","E-D-1",1,"Evelina Dacca","edacca3l@google.pl","United States","Exc","D",1.0,12.15
"2022-03-04","47493-68564-YM","A-L-2.5",5,"Bidget Tremellier","","Ireland","Ara","L",2.5,29.785
"2020-12-31","82246-82543-DW","E-D-0.5",2,"Bobinette Hindsberg","bhindsberg3n@blogs.com","United States","Exc","D",0.5,7.29
"2020-07-31","03384-62101-IY","A-L-2.5",5,"Osbert Robins","orobins3o@salon.com","United States","Ara","L",2.5,29.785
"2021-05-24","86881-41559-OR","L-D-1",1,"Othello Syseland","osyseland3p@independent.co.uk","United States","Lib","D",1.0,12.95
"2022-07-16","02536-18494-AQ","E-M-2.5",3,"Ewell Hanby","","United States","Exc","M",2.5,31.625
"2021-07-29","90312-11148-LA","A-D-0.2",4,"Lowell Keenleyside","lkeenleyside3s@topsy.com","United States","Ara","D",0.2,2.985
"2022-03-17","68239-74809-TF","E-L-2.5",3,"Elonore Joliffe","","Ireland","Exc","L",2.5,34.155
"2021-02-11","91074-60023-IP","E-D-1",4,"Abraham Coleman","","United States","Exc","D",1.0,12.15
"2019-02-13","07972-83748-JI","L-D-1",6,"Rivy Farington","","United States","Lib","D",1.0,12.95
"2022-05-13","08694-57330-XR","L-D-2.5",1,"Vallie Kundt","vkundt3w@bigcartel.com","Ireland","Lib","D",2.5,29.785
"2020-05-19","68412-11126-YJ","A-L-0.2",4,"Boyd Bett","bbett3x@google.de","United States","Ara","L",0.2,3.885
"2022-04-27","69037-66822-DW","E-L-2.5",4,"Julio Armytage","","Ireland","Exc","L",2.5,34.155
"2020-09-09","01297-94364-XH","L-M-0.5",2,"Deana Staite","dstaite3z@scientificamerican.com","United States","Lib","M",0.5,8.73
"2021-03-10","39919-06540-ZI","E-L-2.5",2,"Winn Keyse","wkeyse40@apple.com","United States","Exc","L",2.5,34.155
"2019-04-07","60512-78550-WS","L-M-0.2",4,"Osmund Clausen-Thue","oclausenthue41@marriott.com","United States","Lib","M",0.2,4.365
"2020-07-12","40172-12000-AU","E-M-1",2,"Leonore Francisco","lfrancisco42@fema.gov","United States","Exc","M",1.0,13.75
"2020-07-12","40172-12000-AU","L-M-1",3,"Leonore Francisco","lfrancisco42@fema.gov","United States","Lib","M",1.0,14.55
"2021-12-21","39019-13649-CL","E-D-0.2",5,"Giacobo Skingle","gskingle44@clickbank.net","United States","Exc","D",0.2,3.645
"2020-10-04","12715-05198-QU","A-M-2.5",2,"Gerard Pirdy","","United States","Ara","M",2.5,25.875
"2020-08-08","04513-76520-QO","L-D-1",1,"Jacinthe Balsillie","jbalsillie46@princeton.edu","United States","Lib","D",1.0,12.95
"2020-10-11","88446-59251-SQ","A-M-1",3,"Quinton Fouracres","","United States","Ara","M",1.0,11.25
"2021-11-10","23779-10274-KN","R-M-2.5",3,"Bettina Leffek","bleffek48@ning.com","United States","Rob","M",2.5,22.885
"2021-06-20","57235-92842-DK","R-D-0.2",1,"Hetti Penson","","United States","Rob","D",0.2,2.685
"2021-10-04","75977-30364-AY","A-D-2.5",5,"Jocko Pray","jpray4a@youtube.com","United States","Ara","D",2.5,22.885
"2019-06-24","12299-30914-NG","A-M-2.5",6,"Grete Holborn","gholborn4b@ow.ly","United States","Ara","M",2.5,25.875
"2019-10-26","59971-35626-YJ","A-M-2.5",3,"Fielding Keinrat","fkeinrat4c@dailymail.co.uk","United States","Ara","M",2.5,25.875
"2021-06-27","15380-76513-PS","R-D-2.5",3,"Paulo Yea","pyea4d@aol.com","Ireland","Rob","D",2.5,20.585
"2019-09-06","73564-98204-EY","R-D-2.5",6,"Say Risborough","","United States","Rob","D",2.5,20.585
"2021-04-30","72282-40594-RX","L-L-2.5",6,"Alexa Sizey","","United States","Lib","L",2.5,36.455
"2020-01-07","17514-94165-RJ","E-M-0.5",4,"Kari Swede","kswede4g@addthis.com","United States","Exc","M",0.5,8.25
"2021-01-11","56248-75861-JX","A-L-0.5",3,"Leontine Rubrow","lrubrow4h@microsoft.com","United States","Ara","L",0.5,7.77
"2021-11-15","97855-54761-IS","E-D-0.5",3,"Dottie Tift","dtift4i@netvibes.com","United States","Exc","D",0.5,7.29
"2019-06-03","96544-91644-IT","R-D-0.2",6,"Gerardo Schonfeld","gschonfeld4j@oracle.com","United States","Rob","D",0.2,2.685
"2020-12-17","51971-70393-QM","E-D-0.5",4,"Claiborne Feye","cfeye4k@google.co.jp","Ireland","Exc","D",0.5,7.29
"2021-02-07","06812-11924-IK","R-D-1",6,"Mina Elstone","","United States","Rob","D",1.0,8.95
"2021-03-15","59741-90220-OW","R-D-0.5",5,"Sherman Mewrcik","","United States","Rob","D",0.5,5.37
"2022-08-04","62682-27930-PD","E-M-0.5",5,"Tamarah Fero","tfero4n@comsenz.com","United States","Exc","M",0.5,8.25
"2019-01-19","00256-19905-YG","A-M-0.5",6,"Stanislaus Valsler","","Ireland","Ara","M",0.5,6.75
"2022-03-23","38890-22576-UI","R-D-1",2,"Felita Dauney","fdauney4p@sphinn.com","Ireland","Rob","D",1.0,8.95
"2021-10-07","94573-61802-PH","E-L-2.5",2,"Serena Earley","searley4q@youku.com","United Kingdom","Exc","L",2.5,34.155
"2019-03-20","86447-02699-UT","E-M-2.5",2,"Minny Chamberlayne","mchamberlayne4r@bigcartel.com","United States","Exc","M",2.5,31.625
"2021-12-15","51432-27169-KN","E-D-0.5",3,"Bartholemy Flaherty","bflaherty4s@moonfruit.com","Ireland","Exc","D",0.5,7.29
"2022-06-08","43074-00987-PB","R-M-2.5",4,"Oran Colbeck","ocolbeck4t@sina.com.cn","United States","Rob","M",2.5,22.885
"2019-12-14","04739-85772-QT","E-L-2.5",6,"Elysee Sketch","","United States","Exc","L",2.5,34.155
"2021-04-10","28279-78469-YW","E-M-2.5",2,"Ethelda Hobbing","ehobbing4v@nsw.gov.au","United States","Exc","M",2.5,31.625
"2020-03-10","91829-99544-DS","E-L-2.5",1,"Odille Thynne","othynne4w@auda.org.au","United States","Exc","L",2.5,34.155
"2020-10-16","38978-59582-JP","R-L-2.5",4,"Emlynne Heining","eheining4x@flickr.com","United States","Rob","L",2.5,27.485
"2019-10-08","86504-96610-BH","A-L-1",2,"Katerina Melloi","kmelloi4y@imdb.com","United States","Ara","L",1.0,12.95
"2019-12-31","75986-98864-EZ","A-D-0.2",1,"Tiffany Scardafield","","Ireland","Ara","D",0.2,2.985
"2020-03-20","66776-88682-RG","A-D-0.5",5,"Abrahan Mussen","amussen50@51.la","United States","Ara","D",0.5,5.97
"2020-03-20","66776-88682-RG","E-L-0.2",5,"Abrahan Mussen","amussen50@51.la","United States","Exc","L",0.2,4.455
"2021-03-29","85851-78384-DM","R-D-0.5",6,"Anny Mundford","amundford52@nbcnews.com","United States","Rob","D",0.5,5.37
"2021-11-12","55232-81621-BX","E-M-0.2",2,"Tory Walas","twalas53@google.ca","United States","Exc","M",0.2,4.125
"2021-07-20","80310-92912-JA","A-L-0.5",4,"Isa Blazewicz","iblazewicz54@thetimes.co.uk","United States","Ara","L",0.5,7.77
"2019-01-18","19821-05175-WZ","E-D-0.5",5,"Angie Rizzetti","arizzetti55@naver.com","United States","Exc","D",0.5,7.29
"2019-08-07","01338-83217-GV","R-M-2.5",3,"Mord Meriet","mmeriet56@noaa.gov","United States","Rob","M",2.5,22.885
"2022-03-13","66044-25298-TA","L-M-0.5",5,"Lawrence Pratt","lpratt57@netvibes.com","United States","Lib","M",0.5,8.73
"2022-05-17","28728-47861-TZ","E-L-0.2",1,"Astrix Kitchingham","akitchingham58@com.com","United States","Exc","L",0.2,4.455
"2019-12-14","32638-38620-AX","L-M-1",3,"Burnard Bartholin","bbartholin59@xinhuanet.com","United States","Lib","M",1.0,14.55
"2020-01-15","83163-65741-IH","L-M-2.5",1,"Madelene Prinn","mprinn5a@usa.gov","United States","Lib","M",2.5,33.465
"2019-04-12","89422-58281-FD","L-D-0.2",5,"Alisun Baudino","abaudino5b@netvibes.com","United States","Lib","D",0.2,3.885
"2020-03-29","76293-30918-DQ","E-D-1",6,"Philipa Petrushanko","ppetrushanko5c@blinklist.com","Ireland","Exc","D",1.0,12.15
"2022-03-24","86779-84838-EJ","E-L-1",3,"Kimberli Mustchin","","United States","Exc","L",1.0,14.85
"2021-07-21","66806-41795-MX","E-D-0.5",5,"Emlynne Laird","elaird5e@bing.com","United States","Exc","D",0.5,7.29
"2019-08-06","64875-71224-UI","A-L-1",3,"Marlena Howsden","mhowsden5f@infoseek.co.jp","United States","Ara","L",1.0,12.95
"2021-05-23","16982-35708-BZ","E-M-1",3,"Nealson Cuttler","ncuttler5g@parallels.com","United States","Exc","M",1.0,13.75
"2021-05-23","16982-35708-BZ","L-L-0.5",4,"Nealson Cuttler","ncuttler5g@parallels.com","United States","Lib","L",0.5,9.51
"2021-05-23","16982-35708-BZ","L-D-2.5",3,"Nealson Cuttler","ncuttler5g@parallels.com","United States","Lib","D",2.5,29.785
"2021-05-23","16982-35708-BZ","L-D-2.5",2,"Nealson Cuttler","ncuttler5g@parallels.com","United States","Lib","D",2.5,29.785
"2021-05-23","16982-35708-BZ","E-L-0.5",6,"Nealson Cuttler","ncuttler5g@parallels.com","United States","Exc","L",0.5,8.91
"2021-04-08","66708-26678-QK","L-L-0.5",6,"Adriana Lazarus","","United States","Lib","L",0.5,9.51
"2021-10-17","08743-09057-OO","L-D-2.5",6,"Tallie felip","tfelip5m@typepad.com","United States","Lib","D",2.5,29.785
"2022-02-16","37490-01572-JW","L-L-0.2",1,"Vanna Le - Count","vle5n@disqus.com","United States","Lib","L",0.2,4.755
"2020-07-15","01811-60350-CU","E-M-1",6,"Sarette Ducarel","","United States","Exc","M",1.0,13.75
"2020-02-22","24766-58139-GT","R-D-0.2",3,"Kendra Glison","","United States","Rob","D",0.2,2.685
"2021-01-15","90123-70970-NY","A-M-1",2,"Nertie Poolman","npoolman5q@howstuffworks.com","United States","Ara","M",1.0,11.25
"2021-01-11","93809-05424-MG","A-M-0.5",6,"Orbadiah Duny","oduny5r@constantcontact.com","United States","Ara","M",0.5,6.75
"2022-04-08","85425-33494-HQ","E-D-0.5",4,"Constance Halfhide","chalfhide5s@google.ru","Ireland","Exc","D",0.5,7.29
"2020-10-01","54387-64897-XC","A-M-0.5",1,"Fransisco Malecky","fmalecky5t@list-manage.com","United Kingdom","Ara","M",0.5,6.75
"2019-11-21","01035-70465-UO","A-D-1",2,"Anselma Attwater","aattwater5u@wikia.com","United States","Ara","D",1.0,9.95
"2019-10-28","01035-70465-UO","L-D-1",4,"Anselma Attwater","aattwater5u@wikia.com","United States","Lib","D",1.0,12.95
